,Player Name,Pos,Salary,Team,Opp,Proj FP,Actual FP,Batting Order (Confirmed)
0,Zac Gallen,P,11600,ARI,KC,36.2,65.0,
1,Bryce Elder,P,10900,ATL,MIA,31.2,13.0,
2,Graham Ashcraft,P,10600,CIN,TEX,25.0,25.0,
3,Koudai Senga,P,10400,NYM,WAS,33.1,30.0,
4,Anthony DeSclafani,P,10200,SF,STL,25.9,40.0,
5,Freddy Peralta,P,10000,MIL,DET,38.2,52.0,
6,Logan Gilbert,P,10000,SEA,@PHI,30.5,21.0,
7,Sandy Alcantara,P,9800,MIA,@ATL,30.6,29.0,
8,MacKenzie Gore,P,9700,WAS,@NYM,24.4,55.0,
9,Hunter Brown,P,9500,HOU,@TB,28.2,55.0,
10,Patrick Sandoval,P,9200,LAA,OAK,30.6,40.0,
11,Tony Gonsolin,P,9000,LAD,@PIT,23.3,13.0,
12,Drew Smyly,P,8800,CHC,SD,25.4,21.0,
13,Yusei Kikuchi,P,8700,TOR,CWS,29.8,47.0,
14,Kenta Maeda,P,8500,MIN,NYY,24.4,-15.0,
15,Jon Gray,P,8400,TEX,@CIN,28.4,19.0,
16,Tanner Houck,P,8200,BOS,@BAL,25.8,12.0,
17,Tanner Bibee,P,8100,CLE,COL,26.2,44.0,
18,Domingo German,P,8000,NYY,@MIN,26.9,30.0,
19,Taijuan Walker,P,7700,PHI,SEA,27.9,15.0,
20,Tyler Wells,P,7600,BAL,BOS,24.7,38.0,
21,Roansy Contreras,P,7400,PIT,LAD,24.1,43.0,
22,German Marquez,P,7100,COL,@CLE,23.0,14.0,
23,Steven Matz,P,6900,STL,@SF,29.6,15.0,
24,Michael Wacha,P,6700,SD,@CHC,25.9,21.0,
25,Michael Kopech,P,6500,CWS,@TOR,22.9,15.0,
26,Michael Lorenzen,P,6300,DET,@MIL,22.3,15.0,
27,Ryan Yarbrough,P,5700,KC,@ARI,15.3,15.0,
28,Calvin Faucher,P,5600,TB,HOU,14.0,6.0,
0,Ronald Acuna,OF,4600,ATL,MIA,12.2,24.7,1
3,Randy Arozarena,OF,4400,TB,HOU,10.7,3.0,3
4,Patrick Wisdom,3B,4300,CHC,SD,8.9,6.2,7
5,Rafael Devers,3B,4200,BOS,@BAL,11.2,0.0,2
6,Mike Trout,OF,4200,LAA,OAK,15.5,6.2,2
7,Peter Alonso,1B,4200,NYM,WAS,11.7,0.0,4
8,Marcus Semien,2B,4100,TEX,@CIN,12.4,6.2,1
9,Matt Olson,1B,4100,ATL,MIA,10.6,18.7,2
10,Vladimir Guerrero Jr.,1B,4000,TOR,CWS,13.4,22.2,3
12,Adolis Garcia,OF,4000,TEX,@CIN,11.8,9.5,4
14,Matt Chapman,3B,3900,TOR,CWS,11.1,12.2,4
15,Bryan Reynolds,OF,3900,PIT,LAD,10.4,9.5,2
16,Fernando Tatis Jr.,OF,3900,SD,@CHC,14.1,16.5,1
17,Aaron Judge,OF,3800,NYY,@MIN,12.5,31.7,2
19,Taylor Walls,SS,3800,TB,HOU,7.3,0.0,7
20,Francisco Lindor,SS,3800,NYM,WAS,10.9,0.0,3
21,Julio E. Rodriguez,OF,3800,SEA,@PHI,11.4,18.7,1
23,Jonah Heim,C,3700,TEX,@CIN,8.6,9.0,6
24,Jose Ramirez,3B,3700,CLE,COL,12.4,18.2,3
25,Brandon Lowe,2B,3700,TB,HOU,9.8,3.0,4
26,Nico Hoerner,2B,3700,CHC,SD,10.3,12.5,1
27,Wander Franco,SS,3700,TB,HOU,10.1,0.0,2
28,Kyle Tucker,OF,3700,HOU,@TB,12.8,6.0,3
29,Shohei Ohtani,OF,3700,LAA,OAK,15.1,28.7,3
30,Hunter Renfroe,OF,3700,LAA,OAK,12.0,31.1,5
31,Cedric Mullins,OF,3600,BAL,BOS,11.9,21.7,1
32,Ryan Mountcastle,1B,3600,BAL,BOS,9.7,3.0,4
33,Adley Rutschman,C,3600,BAL,BOS,10.8,9.5,2
34,Brandon Marsh,OF,3600,PHI,SEA,8.7,6.2,5
35,Sean Murphy,C,3600,ATL,MIA,8.9,3.0,4
36,Thairo Estrada,2B,3600,SF,STL,11.1,21.2,2
37,Yandy Diaz,1B,3600,TB,HOU,9.7,0.0,1
38,Mookie Betts,OF,3600,LAD,@PIT,12.9,0.0,1
40,Rowdy Tellez,1B,3500,MIL,DET,11.3,12.7,4
41,Jonathan India,2B,3500,CIN,TEX,10.3,6.0,1
42,Lars Nootbaar,OF,3500,STL,@SF,11.1,3.0,1
43,Freddie Freeman,1B,3500,LAD,@PIT,12.9,21.7,2
44,Trea Turner,SS,3500,PHI,SEA,11.3,3.0,2
45,Xander Bogaerts,SS,3500,SD,@CHC,9.9,6.2,4
47,Nolan Gorman,2B,3500,STL,@SF,10.4,6.0,3
48,Jarred Kelenic,OF,3500,SEA,@PHI,10.3,0.0,3
49,Joey Gallo,1B,3400,MIN,NYY,9.6,22.2,5
50,Bo Bichette,SS,3400,TOR,CWS,12.3,37.9,2
51,Alec Bohm,3B,3400,PHI,SEA,7.9,6.5,7
52,James Outman,OF,3400,LAD,@PIT,11.9,0.0,4
54,Kyle Schwarber,OF,3400,PHI,SEA,11.1,6.5,3
56,Paul Goldschmidt,1B,3400,STL,@SF,11.6,46.4,2
57,Brandon Nimmo,OF,3400,NYM,WAS,11.6,3.0,1
58,Brian Anderson,3B,3300,MIL,DET,9.2,16.2,5
59,Josh Jung,3B,3300,TEX,@CIN,9.6,3.0,5
62,Masataka Yoshida,OF,3300,BOS,@BAL,9.5,18.7,4
63,Alex Verdugo,OF,3300,BOS,@BAL,9.1,9.2,1
64,Ian Happ,OF,3300,CHC,SD,9.8,3.0,3
65,Austin Riley,3B,3300,ATL,MIA,10.1,9.2,3
66,Brent Rooker,OF,3300,OAK,@LAA,9.4,6.5,3
67,Harold Ramirez,OF,3300,TB,HOU,8.5,0.0,5
68,Christian Bethancourt,C,3300,TB,HOU,8.3,0.0,6
69,Nick Castellanos,OF,3300,PHI,SEA,9.6,34.9,4
70,Corbin Carroll,OF,3200,ARI,KC,10.8,9.0,6
71,Bobby Witt Jr.,SS,3200,KC,@ARI,10.2,3.0,1
72,Willy Adames,SS,3200,MIL,DET,11.3,0.0,3
73,Anthony Rizzo,1B,3200,NYY,@MIN,10.0,19.2,3
74,Luis Robert Jr.,OF,3200,CWS,@TOR,11.9,3.0,3
75,Jose Siri,OF,3200,TB,HOU,8.2,0.0,8
76,Connor Joe,1B,3200,PIT,LAD,8.2,0.0,6
77,Jack Suwinski,OF,3200,PIT,LAD,8.8,18.2,5
78,Ty France,1B,3200,SEA,@PHI,10.0,0.0,2
79,Jeremy Pena,SS,3200,HOU,@TB,9.8,9.2,2
80,Christian Yelich,OF,3100,MIL,DET,11.2,9.2,1
83,Nathaniel Lowe,1B,3100,TEX,@CIN,10.6,12.5,3
85,Spencer Steer,3B,3100,CIN,TEX,9.5,0.0,3
86,Andrew McCutchen,OF,3100,PIT,LAD,8.8,6.5,3
88,Dansby Swanson,SS,3100,CHC,SD,9.9,0.0,2
89,Seiya Suzuki,OF,3100,CHC,SD,9.5,6.2,4
90,Vinnie Pasquantino,1B,3000,KC,@ARI,9.2,3.0,2
92,Christian Walker,1B,3000,ARI,KC,11.3,3.0,4
93,Steven Kwan,OF,3000,CLE,COL,10.5,12.0,1
94,DJ LeMahieu,3B,3000,NYY,@MIN,8.0,3.5,4
95,Jarren Duran,OF,3000,BOS,@BAL,7.6,6.0,7
98,Andres Gimenez,2B,3000,CLE,COL,9.9,18.4,6
100,Enrique Hernandez,2B,3000,BOS,@BAL,7.6,9.0,5
101,J.D. Davis,3B,3000,SF,STL,9.5,3.0,4
102,Ozzie Albies,2B,3000,ATL,MIA,9.0,12.2,6
103,Juan Soto,OF,3000,SD,@CHC,10.7,0.0,2
104,Alex Bregman,3B,3000,HOU,@TB,10.2,6.5,4
106,Luis Arraez,2B,3000,MIA,@ATL,8.7,0.0,4
107,Sam Hilliard,OF,3000,ATL,MIA,7.3,0.0,9
108,Nolan Arenado,3B,3000,STL,@SF,10.2,0.0,4
109,Jorge Soler,OF,3000,MIA,@ATL,8.8,3.0,3
110,Yan Gomes,C,3000,CHC,SD,7.1,6.0,8
111,Ketel Marte,2B,2900,ARI,KC,12.5,3.0,1
112,Jake Burger,3B,2900,CWS,@TOR,10.9,0.0,6
113,Gleyber Torres,2B,2900,NYY,@MIN,8.6,31.4,5
114,Amed Rosario,SS,2900,CLE,COL,9.6,9.0,2
115,Justin Turner,1B,2900,BOS,@BAL,9.2,9.5,3
116,Eloy Jimenez,OF,2900,CWS,@TOR,10.9,0.0,4
118,Kris Bryant,OF,2900,COL,@CLE,9.0,9.5,3
119,Michael Conforto,OF,2900,SF,STL,8.8,12.7,3
120,Manny Machado,3B,2900,SD,@CHC,10.5,6.0,3
121,Bryson Stott,2B,2900,PHI,SEA,9.2,15.4,1
122,Teoscar Hernandez,OF,2900,SEA,@PHI,10.0,0.0,5
123,Carlos Santana,1B,2900,PIT,LAD,7.8,15.2,4
125,Jake Cronenworth,1B,2900,SD,@CHC,8.3,16.0,6
127,Jeimer Candelario,3B,2900,WAS,@NYM,8.7,18.7,3
129,Paul DeJong,SS,2900,STL,@SF,7.2,15.5,9
130,Taylor Ward,OF,2900,LAA,OAK,12.6,9.2,1
131,Jeff McNeil,2B,2900,NYM,WAS,9.0,9.0,6
134,Willson Contreras,C,2900,STL,@SF,9.4,6.0,5
135,J.T. Realmuto,C,2900,PHI,SEA,10.0,9.5,6
136,Mauricio Dubon,2B,2900,HOU,@TB,8.3,6.0,1
138,Lourdes Gurriel,OF,2800,ARI,KC,9.8,3.0,3
140,Anthony Volpe,SS,2800,NYY,@MIN,9.4,35.1,1
141,Robbie Grossman,OF,2800,TEX,@CIN,7.9,3.0,7
142,Andrew Benintendi,OF,2800,CWS,@TOR,8.9,3.0,5
146,George Springer,OF,2800,TOR,CWS,12.7,6.2,1
147,Carlos Correa,SS,2800,MIN,NYY,10.2,0.0,2
148,Daulton Varsho,OF,2800,TOR,CWS,11.8,9.2,5
149,C.J. Cron,1B,2800,COL,@CLE,8.9,0.0,4
150,Josh Bell,1B,2800,CLE,COL,9.5,0.0,5
152,Ryan McMahon,2B,2800,COL,@CLE,8.7,3.0,5
154,T.J. Friedl,OF,2800,CIN,TEX,10.2,3.5,2
155,Ramon Urias,3B,2800,BAL,BOS,7.7,25.1,8
156,Whit Merrifield,2B,2800,TOR,CWS,9.4,19.0,7
157,Trevor Larnach,OF,2800,MIN,NYY,8.8,6.2,3
158,Travis Jankowski,OF,2800,TEX,@CIN,9.1,0.0,2
159,Andrew Vaughn,1B,2800,CWS,@TOR,10.9,3.0,2
160,Ke'Bryan Hayes,3B,2800,PIT,LAD,8.9,9.2,1
162,Anthony Rendon,3B,2800,LAA,OAK,10.2,9.2,4
163,Esteury Ruiz,OF,2800,OAK,@LAA,10.1,39.7,1
169,Eugenio Suarez,3B,2800,SEA,@PHI,9.5,6.0,4
170,Mark Canha,OF,2800,NYM,WAS,9.4,0.0,5
171,Starling Marte,OF,2800,NYM,WAS,11.3,6.5,2
172,Wilmer Flores,1B,2800,SF,STL,9.1,22.2,7
173,Lane Thomas,OF,2800,WAS,@NYM,7.8,9.5,7
174,Mitch Haniger,OF,2800,SF,STL,10.3,12.4,5
175,Brendan Donovan,2B,2800,STL,@SF,8.1,3.0,8
176,Spencer Torkelson,1B,2700,DET,@MIL,6.8,0.0,6
177,Jesse Winker,OF,2700,MIL,DET,10.6,9.2,2
179,Evan Longoria,3B,2700,ARI,KC,10.5,6.5,5
180,Riley Greene,OF,2700,DET,@MIL,8.1,3.0,2
181,MJ Melendez,C,2700,KC,@ARI,8.1,6.0,3
182,Brice Turang,2B,2700,MIL,DET,8.2,0.0,7
185,Anthony Santander,OF,2700,BAL,BOS,9.8,7.0,3
187,Gunnar Henderson,3B,2700,BAL,BOS,9.8,3.0,5
188,Alejandro Kirk,C,2700,TOR,CWS,9.9,3.0,6
189,Adam Frazier,2B,2700,BAL,BOS,7.9,6.2,6
191,Triston Casas,1B,2700,BOS,@BAL,7.7,3.0,6
192,Tyler Stephenson,C,2700,CIN,TEX,9.2,15.2,4
196,Jake Fraley,OF,2700,CIN,TEX,10.5,3.0,5
197,Charlie Blackmon,OF,2700,COL,@CLE,8.6,6.0,1
199,Jasrado Chisholm Jr.,OF,2700,MIA,@ATL,11.3,18.7,1
