Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,,OF,4600,NYY,@SEA,3.48,Kirby,0.335,0%,R,R,0.435,2%,0.331,2%,,2,,-2%,-3%,0%,21.5,15.8,15.8,1.9,29.7,13.8,3.0,0.0,0.0
Ronald Acuna,,OF,4500,ATL,@OAK,5.41,Kaprielian,0.309,-3%,R,R,0.375,0%,0.218,-2%,,1,,-10%,-1%,0%,9.9,15.6,15.6,5.4,25.8,12.7,2.8,0.0,0.0
Yordan Alvarez,,OF,4400,HOU,MIN,4.53,Varland,,3%,R,L,0.400,-1%,0.290,0%,,3,,-1%,3%,1%,16.9,14.3,14.3,3.4,25.2,14.2,3.2,0.0,0.0
Freddie Freeman,,1B,4300,LAD,WAS,5.44,Corbin,0.309,-1%,L,L,0.344,-10%,0.187,-5%,,2,,-2%,-2%,0%,17.7,14.2,14.2,3.8,24.7,10.9,2.5,0.0,0.0
Will Smith,,C,4200,LAD,WAS,5.44,Corbin,0.381,13%,L,R,0.343,-3%,0.197,-6%,,3,,1%,-3%,0%,9.7,13.5,13.5,4.4,22.5,12.3,2.9,0.0,0.0
Marcus Semien,,2B,4200,TEX,@DET,4.87,Wentz,0.353,6%,L,R,0.349,0%,0.202,-10%,,1,,2%,4%,0%,14.2,13.9,13.9,4.8,23.0,13.2,3.1,0.0,0.0
Yandy Diaz,,1B/3B,4100,TB,@CHC,4.51,Steele,0.309,-3%,L,R,0.373,3%,0.197,24%,,1,,2%,1%,0%,15.1,13.5,13.5,1.3,25.7,11.8,2.9,0.0,0.0
Josh Lowe,,OF,4000,TB,@CHC,4.51,Steele,0.274,-9%,L,L,0.207,-10%,0.069,-22%,,x,,0%,1%,0%,13.7,14.9,14.9,3.2,26.7,0.0,0.0,0.0,0.0
Peter Alonso,,1B,4000,NYM,PHI,4.13,Nola,0.296,-6%,R,R,0.366,0%,0.252,-6%,,4,,-5%,-2%,2%,15.3,13.2,13.2,0.5,25.8,10.9,2.7,0.0,0.0
Wander Franco,,SS,4000,TB,@CHC,4.51,Steele,0.274,-9%,L,L,0.408,5%,0.203,2%,,2,,1%,1%,0%,15.5,13.3,13.3,2.4,24.2,11.6,2.9,0.0,0.0
Randy Arozarena,,OF,4000,TB,@CHC,4.51,Steele,0.309,-3%,L,R,0.410,14%,0.273,35%,,4,,3%,1%,0%,10.8,13.1,13.1,2.4,23.8,13.3,3.3,0.0,0.0
Matt Olson,,1B,4000,ATL,@OAK,5.41,Kaprielian,0.353,7%,R,L,0.369,3%,0.265,3%,,2,,-10%,-1%,0%,13.4,13.6,13.6,1.8,25.5,12.1,3.0,0.0,0.0
Mookie Betts,,OF/2B,3900,LAD,WAS,5.44,Corbin,0.381,13%,L,R,0.366,1%,0.220,-4%,,1,,1%,-3%,0%,13.7,12.4,12.4,2.4,22.4,14.3,3.7,0.0,0.0
Sean Murphy,,C,3900,ATL,@OAK,5.41,Kaprielian,0.309,-3%,R,R,0.333,-1%,0.189,-2%,,5,,-11%,-1%,0%,10.3,12.7,12.7,-0.7,26.0,9.1,2.3,0.0,0.0
Corey Seager,,SS,3900,TEX,@DET,4.87,Wentz,,-1%,L,L,0.338,-4%,0.216,3%,,2,,-11%,4%,0%,16.8,13.7,13.7,1.5,25.8,10.3,2.6,0.0,0.0
Julio E. Rodriguez,,OF,3900,SEA,NYY,4.02,Schmidt,0.275,-5%,R,R,,-1%,,-2%,,3,,0%,0%,0%,15.3,11.9,11.9,1.9,21.8,6.6,1.7,0.0,0.0
Cedric Mullins,,OF,3900,BAL,CLE,,Bieber,0.279,-9%,R,S,0.364,7%,0.211,13%,,x,,1%,0%,0%,12.4,13.1,13.1,1.3,24.9,0.0,0.0,0.0,0.0
Shohei Ohtani,,OF,3900,LAA,@CWS,4.19,Lynn,0.309,-3%,R,L,0.384,3%,0.283,6%,,3,,1%,3%,-3%,16.6,16.1,16.1,0.5,31.8,13.0,3.3,0.0,0.0
Christopher Morel,,OF/3B,3800,CHC,TB,3.99,Eflin,0.303,-4%,R,R,0.359,4%,0.261,8%,,7,,-1%,2%,0%,11.2,15.3,15.3,3.3,27.2,10.2,2.7,0.0,0.0
Bryce Harper,,1B/OF,3800,PHI,@NYM,4.37,Carrasco,0.307,-3%,R,L,0.435,8%,0.317,18%,,3,,-9%,-2%,1%,10.2,11.5,11.5,1.7,21.4,12.0,3.2,0.0,0.0
J.D. Martinez,,OF,3800,LAD,WAS,5.44,Corbin,0.381,13%,L,R,0.400,7%,0.287,18%,,4,,1%,-3%,0%,21.5,13.4,13.4,0.5,26.4,12.5,3.3,0.0,0.0
Adolis Garcia,,OF,3800,TEX,@DET,4.87,Wentz,0.353,6%,L,R,0.309,-4%,0.204,-5%,,4,,1%,5%,0%,8.3,13.5,13.5,-3.5,30.5,11.9,3.1,0.0,0.0
Bo Bichette,,SS,3800,TOR,MIL,5.39,Teheran,,-1%,R,R,0.349,-3%,0.177,-6%,,2,,1%,1%,0%,13.1,12.1,12.1,0.6,23.6,11.6,3.1,0.0,0.0
Jorge Soler,,OF,3800,MIA,SD,4.15,Snell,0.314,-2%,L,R,0.381,14%,0.313,36%,,2,,-4%,0%,-3%,17.8,11.9,11.9,-0.9,24.6,11.4,3.0,0.0,0.0
Jonathan India,,2B,3700,CIN,@BOS,4.35,Paxton,,2%,L,R,0.340,0%,0.122,-15%,,1,,7%,-1%,1%,13.1,11.7,11.7,2.1,21.4,11.7,3.2,0.0,0.0
Juan Soto,,OF,3700,SD,@MIA,4.35,Garrett,0.291,-3%,L,L,0.354,-11%,0.190,-15%,,3,,-4%,0%,-2%,17.3,12.5,12.5,1.8,23.3,10.7,2.9,0.0,0.0
Mike Trout,,OF,3700,LAA,@CWS,4.19,Lynn,0.261,-13%,R,R,0.418,2%,0.336,12%,,2,,2%,3%,-3%,9.7,11.9,11.9,0.9,22.9,11.6,3.1,0.0,0.0
Thairo Estrada,,2B,3700,SF,PIT,3.88,Keller,0.320,0%,R,R,0.323,-1%,0.147,-4%,,x,,-1%,-1%,0%,9.5,11.8,11.8,2.7,20.9,0.0,0.0,0.0,0.0
