Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Zac Gallen,,SP,10700,ARI,@PIT,63%,3.19,7,,,4.28,27.6%,3.48,3.41,R,0.253,0.289,4%,1%,0%,29.3,25.9,25.9,12.5,39.3,22.3,2.1,0.0,0.0
Shane McClanahan,,SP,10400,TB,MIL,,,6.5,,,4.26,29.0%,3.29,3.00,L,0.296,0.273,1%,0%,0%,20.4,22.2,22.2,13.5,30.9,20.4,2.0,0.0,0.0
Joe Ryan,1,SP,10300,MIN,@LAA,55%,4.03,7,,,5.05,26.6%,3.68,4.00,R,0.266,0.280,-3%,1%,0%,22.6,25.1,25.1,16.4,33.7,18.5,1.8,0.0,0.0
Sandy Alcantara,,SP,9800,MIA,@SF,48%,3.84,6,,,4.42,23.6%,3.60,3.42,R,0.280,0.271,1%,1%,0%,17.8,15.6,15.6,2.1,29.1,18.7,1.9,0.0,0.0
Bryce Miller,,SP,9400,SEA,@ATL,43%,4.59,5.5,,,5.30,,,,R,,,-7%,2%,0%,26.7,26.7,26.7,23.4,29.9,14.1,1.5,0.0,0.0
Bryce Elder,,SP,9200,ATL,SEA,56%,3.91,5,,,4.44,20.7%,4.19,3.97,R,0.290,0.283,-2%,2%,0%,15.9,17.7,17.7,8.9,26.4,14.1,1.5,0.0,0.0
Tony Gonsolin,,SP,8900,LAD,@STL,53%,4.09,5,,,4.84,24.6%,4.05,4.03,R,0.245,0.272,2%,4%,0%,15.3,15.3,15.3,5.0,25.7,14.3,1.6,0.0,0.0
Marcus Stroman,,SP,8800,CHC,@PHI,47%,4.67,4.5,,,4.26,21.6%,3.87,3.53,R,0.294,0.279,0%,3%,-3%,9.7,15.8,15.8,5.3,26.3,13.7,1.6,0.0,0.0
Anthony DeSclafani,,SP,8700,SF,MIA,52%,3.66,5,,,3.49,21.1%,4.10,3.94,R,0.326,0.273,1%,1%,0%,13.1,16.4,16.4,7.4,25.4,16.3,1.9,0.0,0.0
Blake Snell,1,SP,8500,SD,BOS,56%,3.95,6.5,,,5.64,30.3%,3.79,3.64,L,0.257,0.314,2%,1%,0%,15.6,12.8,12.8,5.7,19.9,17.8,2.1,0.0,0.0
James Paxton,,SP,8300,BOS,@SD,44%,4.55,5.5,,,3.91,,,,L,,,4%,1%,0%,22.3,22.3,22.3,22.3,22.3,16.7,2.0,0.0,0.0
Carlos Carrasco,,SP,8200,NYM,CLE,56%,4.14,4.5,,,3.50,22.2%,3.97,3.86,R,0.311,0.357,1%,2%,-1%,1.9,1.9,1.9,-4.8,8.6,15.1,1.8,0.0,0.0
Yusei Kikuchi,,SP,8100,TOR,BAL,57%,4.36,5.5,,,5.00,25.3%,4.07,3.96,L,0.260,0.368,0%,0%,0%,15.1,15.6,15.6,4.0,27.2,15.4,1.9,0.0,0.0
Reid Detmers,,SP,7900,LAA,MIN,45%,4.47,5.5,,,4.70,22.9%,4.24,4.38,L,0.316,0.322,-1%,1%,0%,12.9,12.7,12.7,8.4,17.1,15.2,1.9,0.0,0.0
Martin Perez,,SP,7700,TEX,COL,68%,3.59,4.5,,,4.50,19.6%,4.34,4.15,L,0.290,0.331,-1%,0%,0%,8.4,11.6,11.6,1.7,21.4,13.0,1.7,0.0,0.0
Michael Kopech,,SP,7400,CWS,KC,53%,4.33,5.5,,,4.04,25.6%,4.20,4.46,R,0.302,0.304,0%,2%,0%,11.9,10.7,10.7,3.5,17.9,15.4,2.1,0.0,0.0
Kyle Gibson,,SP,7300,BAL,@TOR,42%,5.14,5,,,4.70,19.8%,4.31,4.11,R,0.341,0.293,1%,0%,0%,11.2,11.8,11.8,-0.2,23.9,13.6,1.9,0.0,0.0
Matthew Boyd,,SP,7100,DET,@WAS,50%,4.49,4.5,,,4.02,20.3%,4.64,4.88,L,0.248,0.318,4%,2%,0%,8.8,8.9,8.9,-2.6,20.3,14.5,2.0,0.0,0.0
Clarke Schmidt,,SP,7100,NYY,@CIN,59%,4.72,5,,,4.37,23.9%,3.93,4.05,R,0.412,0.274,-3%,1%,0%,14.8,10.4,10.4,1.2,19.5,15.0,2.1,0.0,0.0
Cal Quantrill,,SP,6900,CLE,@NYM,43%,4.86,4,,,4.25,17.2%,4.64,4.54,R,0.288,0.310,5%,3%,-1%,12.1,9.8,9.8,-0.1,19.6,13.1,1.9,0.0,0.0
Jake Irvin,,SP,6700,WAS,DET,50%,4.51,4,,,3.49,,,,R,,,2%,2%,0%,13.1,13.1,13.1,3.4,22.8,12.7,1.9,0.0,0.0
Johan Oviedo,,SP,6600,PIT,ARI,37%,4.31,4.5,,,5.16,19.4%,4.78,4.71,R,0.328,0.312,1%,1%,0%,5.0,10.6,10.6,-4.3,25.6,11.1,1.7,0.0,0.0
Steven Matz,,SP,6400,STL,LAD,47%,4.41,4.5,,,5.39,22.6%,4.01,3.82,L,0.316,0.332,2%,4%,0%,9.1,9.4,9.4,4.7,14.0,13.5,2.1,0.0,0.0
Ranger Suarez,,SP,6300,PHI,CHC,53%,4.33,4.5,,,4.79,21.8%,3.86,3.63,L,0.213,0.310,0%,3%,-4%,6.2,6.2,6.2,6.2,6.2,13.6,2.2,0.0,0.0
Brandon Bielak,,RP,6200,HOU,OAK,68%,3.57,4,,,3.84,20.4%,4.31,4.60,R,0.304,0.360,1%,-2%,0%,5.9,5.9,5.9,-3.4,15.2,12.0,1.9,0.0,0.0
Adrian Houser,,RP,6200,MIL,@TB,,,3.5,,,6.25,16.5%,4.85,4.44,R,0.368,0.275,5%,0%,0%,6.7,6.7,6.7,-0.5,13.8,9.5,1.5,0.0,0.0
Ken Waldichuk,,SP,6000,OAK,@HOU,32%,5.43,5,,,4.44,20.1%,4.74,5.04,L,,0.411,0%,-2%,0%,10.7,7.2,7.2,-1.7,16.1,13.6,2.3,0.0,0.0
Zack Greinke,,SP,5600,KC,@CWS,47%,4.67,3.5,,,4.32,15.2%,4.64,4.34,R,0.279,0.335,1%,3%,0%,7.6,9.6,9.6,1.9,17.3,11.0,2.0,0.0,0.0
Ben Lively,,RP,5200,CIN,NYY,41%,5.78,1,,,4.56,,,,R,,,-3%,1%,0%,0.0,0.0,0.0,0.0,0.0,3.5,0.7,0.0,0.0
Karl Kauffmann,,SP,5000,COL,@TEX,32%,5.41,3,,,6.19,,,,R,,,15%,0%,0%,0.0,0.0,0.0,0.0,0.0,5.3,1.1,0.0,0.0
