Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Gerrit Cole,1,P,11200,NYY,@CLE,62%,3.68,6,0.334,18.0%,4.82,33.2%,2.84,2.84,R,0.283,0.278,-1%,0%,0%,55.5,55.5,55.5,47.7,63.3,35.7,3.2,34.0,3.0
Shohei Ohtani,0,P,10800,LAA,WAS,73%,3.12,7.5,0.298,22.1%,4.18,31.7%,3.14,3.08,R,0.295,0.237,-1%,1%,0%,21.6,17.4,17.4,2.6,32.2,34.0,3.1,49.0,4.5
Jacob deGrom,1,P,10600,TEX,KC,72%,3.00,8.5,0.309,23.9%,2.64,44.2%,1.68,1.58,R,0.222,0.210,0%,0%,0%,37.5,37.5,37.5,8.5,66.5,43.9,4.1,46.0,4.3
Shane McClanahan,,P,10400,TB,BOS,62%,3.27,7,0.323,,5.90,28.8%,3.21,2.90,L,0.294,0.269,1%,0%,0%,43.0,43.0,43.0,38.8,47.2,36.8,3.5,45.0,4.3
Cristian Javier,,P,10000,HOU,@PIT,60%,3.54,7.5,0.315,25.1%,4.40,31.8%,3.46,3.86,R,0.298,0.248,0%,0%,0%,32.0,32.0,32.0,20.7,43.3,33.2,3.3,15.0,1.5
Alek Manoah,1,P,9900,TOR,DET,71%,3.42,7.5,0.304,28.3%,3.00,24.4%,3.91,4.10,R,0.310,0.219,0%,0%,0%,25.0,25.0,25.0,-4.7,54.7,33.9,3.4,13.0,1.3
Aaron Nola,1,P,9800,PHI,MIA,56%,3.46,5.5,0.323,20.5%,2.73,29.2%,3.06,3.08,R,0.274,0.292,0%,1%,0%,18.0,18.0,18.0,3.9,32.1,33.0,3.4,23.0,2.3
Corbin Burnes,1,P,9700,MIL,@ARI,53%,4.09,6.5,0.316,21.1%,4.82,32.2%,2.84,2.68,R,0.261,0.250,-4%,-2%,0%,8.0,8.0,8.0,2.3,13.7,32.2,3.3,58.0,6.0
Pablo Lopez,,P,9600,MIN,CWS,61%,3.30,6,0.317,22.4%,5.09,25.5%,3.60,3.46,R,0.313,0.281,0%,-1%,0%,46.0,46.0,46.0,46.0,46.0,31.0,3.2,51.0,5.3
Dustin May,1,P,9500,LAD,@SF,57%,3.63,6,0.340,24.5%,4.80,27.3%,3.56,3.37,R,0.283,0.266,1%,1%,0%,38.5,38.5,38.5,36.4,40.6,28.2,3.0,19.0,2.0
