Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jeffrey Springs,0,P,53,TB,OAK,71%,2.86,6,0.307,22.0%,3.86,29.3%,3.05,3.12,L,0.332,0.255,1%,0%,0%,45.1,45.1,45.1,45.1,45.1,21.7,4.1,33.6,6.3
Nick Lodolo,,P,46,CIN,@PHI,44%,4.28,6,0.332,21.1%,3.29,30.1%,3.25,3.42,L,,0.344,2%,3%,0%,24.9,24.9,24.9,24.9,24.9,19.7,4.3,40.5,8.8
Kodai Senga,0,P,42,NYM,MIA,62%,3.47,6.5,0.321,21.8%,2.25,,,,R,,,1%,3%,0%,28.6,28.6,28.6,28.6,28.6,18.8,4.5,26.6,6.3
Justin Steele,,P,41,CHC,TEX,54%,3.36,5,0.337,23.1%,5.14,24.7%,3.91,3.63,L,0.266,0.315,1%,2%,0%,30.4,30.4,30.4,30.4,30.4,17.7,4.3,18.8,4.6
Brady Singer,,P,41,KC,@SF,43%,4.31,5,0.339,22.5%,5.57,23.2%,3.85,3.69,R,0.325,0.303,3%,1%,0%,18.5,18.5,18.5,18.5,18.5,15.6,3.8,8.8,2.1
Tanner Houck,,P,38,BOS,@DET,56%,3.69,7,0.304,29.6%,3.00,26.8%,3.43,3.44,R,0.305,0.246,2%,2%,0%,17.6,17.6,17.6,17.6,17.6,15.7,4.1,18.5,4.9
Tyler Anderson,,P,37,LAA,TOR,55%,4.49,3.5,0.336,18.8%,4.62,19.2%,4.31,4.37,L,0.300,0.297,-2%,3%,0%,23.7,23.7,23.7,23.7,23.7,13.1,3.5,3.9,1.1
Jordan Montgomery,,P,37,STL,@MIL,59%,4.03,6,0.319,27.3%,6.00,23.0%,3.85,3.67,L,0.250,0.307,-1%,3%,0%,12.7,12.7,12.7,12.7,12.7,18.3,4.9,38.5,10.4
Charlie Morton,1,P,36,ATL,SD,59%,4.08,5.5,0.330,21.7%,4.50,27.9%,3.56,3.49,R,0.301,0.288,-1%,6%,0%,6.1,6.1,6.1,6.1,6.1,16.4,4.6,14.0,3.9
Eric Lauer,,P,35,MIL,STL,41%,4.97,4,0.360,20.4%,4.14,23.9%,4.13,4.15,L,0.287,0.302,0%,4%,0%,21.7,21.7,21.7,21.7,21.7,13.6,3.9,-1.0,-0.3
