PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2039345,"Pavin Smith",3500,ATL,OF,ARI,92795,829595,4.2,0.46,0.15,0.02,0.09,0.39,0.42,0.003,0.45,0,0,0,0,0,0,0,0,6.31,5.72,0.72,ARI,1.18,0,1.1959,1.53,,1,5.72,1.63,0.75,17.42,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,2039345
15782,"Ketel Marte",5200,ATL,2B,ARI,92795,597026,4.25,0.45,0.2,0.04,0.09,0.42,0.45,0.011,0.41,0,0,0,0,0,0,0,0,6.83,6.22,0.78,ARI,1.33,0,1.0712,1.65,,2,6.22,1.2,1.03,18.52,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,15782
2039346,"Corbin Carroll",5300,ATL,OF,ARI,92795,1169588,4.24,0.4,0.19,0.04,0.12,0.44,0.46,0.054,0.51,0,0,0,0,0,0,0,0,7.45,6.8,0.75,ARI,1.38,0,1.3713,1.65,,3,6.8,1.28,1.23,19.81,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,2039346
16300,"Christian Walker",4600,ATL,1B,ARI,92795,503826,4.07,0.37,0.18,0.01,0.15,0.42,0.42,0.006,0.34,0,0,0,0,0,0,0,0,6.45,5.94,0.71,ARI,1.36,0,1.2288,1.55,,4,5.94,1.29,0.36,18.8,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,16300
36142,"Lourdes Gurriel",4500,ATL,OF,ARI,92795,908697,3.93,0.45,0.24,0.03,0.09,0.4,0.41,0.006,0.24,0,0,0,0,0,0,0,0,6.23,5.76,0.81,ARI,1.38,0,0.9902,1.62,,5,5.76,1.28,0.47,17.06,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,36142
1220539,"Josh Rojas",4100,ATL,2B/3B,ARI,92795,913302,3.86,0.45,0.17,0.02,0.05,0.36,0.36,0.029,0.42,0,0,0,0,0,0,0,0,5.78,5.22,0.69,ARI,1.05,0,1.1684,1.41,,6,5.22,1.27,0.92,14.88,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,1220539
2133994,"Gabriel Moreno",3000,ATL,C,ARI,92795,1053498,3.82,0.53,0.13,0.01,0.05,0.33,0.3,0.009,0.22,0,0,0,0,0,0,0,0,4.92,4.58,0.72,ARI,1.02,0,0.9265,1.35,,7,4.58,1.53,0.22,13.72,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,2133994
3054562,"Jake McCarthy",3000,ATL,OF,ARI,92795,875378,3.73,0.44,0.11,0.04,0.06,0.34,0.32,0.045,0.34,0,0,0,0,0,0,0,0,5.46,5.04,0.65,ARI,1.02,0,1.1469,1.31,,8,5.04,1.68,0.65,14.67,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,3054562
2039344,"Geraldo Perdomo",3800,ATL,SS,ARI,92795,1053474,3.57,0.37,0.09,0.03,0.05,0.31,0.28,0.018,0.44,0,0,0,0,0,0,0,0,5.01,4.5,0.54,ARI,0.84,0,1.0081,1.13,,9,4.5,1.18,0.6,12.71,0.0,0.0245,0.0082,0.0291,-0.0046,2.7,,2039344
262363,"Ronald Acuna",6500,ARI,OF,ATL,92795,877503,4.9,0.67,0.29,0.05,0.22,0.62,0.69,0,0.5,0,0,0,0,0,0,0,0,10.46,9.67,1.23,ARI,2.28,0,0.8725,2.54,,10,9.67,1.49,3.01,24.67,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,262363
17887,"Matt Olson",5800,ARI,1B,ATL,92795,657863,4.81,0.49,0.29,0,0.34,0.65,0.72,0,0.63,0,0,0,0,0,0,0,0,11.21,10.29,1.12,ARI,2.43,0,0.8275,2.49,,11,10.29,1.77,3.02,26.19,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,17887
1023422,"Austin Riley",5200,ARI,3B,ATL,92795,874756,4.69,0.59,0.23,0.03,0.23,0.58,0.58,0,0.4,0,0,0,0,0,0,0,0,9.24,8.61,1.08,ARI,2.06,0,0.9327,2.24,,12,8.61,1.66,2.07,23.07,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,1023422
1252110,"Sean Murphy",4800,ARI,C,ATL,92795,873680,4.54,0.52,0.27,0,0.18,0.55,0.55,0,0.45,0,0,0,0,0,0,0,0,8.62,7.89,0.97,ARI,1.78,0,0.8583,2.07,,13,7.89,1.64,1.99,21.34,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,1252110
14629,"Marcell Ozuna",3100,ARI,OF,ATL,92795,503013,4.45,0.5,0.17,0.01,0.23,0.54,0.51,0,0.31,0,0,0,0,0,0,0,0,7.93,7.45,0.91,ARI,1.79,0,0.8835,1.96,,14,7.45,2.4,0.75,21.63,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,14629
15912,"Eddie Rosario",2600,ARI,OF,ATL,92795,548299,4.32,0.57,0.25,0.07,0.16,0.54,0.51,0,0.28,0,0,0,0,0,0,0,0,8.36,7.84,1.05,ARI,1.92,0,0.6902,2.1,,15,7.84,3.02,2.08,20.25,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,15912
37435,"Ozzie Albies",4600,ARI,2B,ATL,92795,830219,4.25,0.51,0.25,0.1,0.21,0.57,0.55,0,0.33,0,0,0,0,0,0,0,0,9.13,8.55,1.07,ARI,2.15,0,0.5699,2.19,,16,8.55,1.86,2.3,22.21,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,37435
16290,"Orlando Arcia",3800,ARI,SS,ATL,92795,596917,3.99,0.59,0.18,0.01,0.13,0.45,0.39,0,0.28,0,0,0,0,0,0,0,0,6.71,6.25,0.91,ARI,1.5,0,0.6845,1.75,,17,6.25,1.64,0.63,17.53,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,16290
2042452,"Michael Harris",3200,ARI,OF,ATL,92795,1169617,4.02,0.6,0.26,0.07,0.2,0.53,0.51,0,0.32,0,0,0,0,0,0,0,0,8.92,8.34,1.13,ARI,2.13,0,0.7019,2.17,,18,8.34,2.61,3.75,28.23,0.0,0.167,0.1063,0.1882,-0.0212,5.5,,2042452
17869,"Adam Frazier",2800,SFG,2B,BAL,92794,737830,4.92,1.14,0.16,0.1,0.03,0.43,0.5,0.049,0.43,0,0,0,0,0,0,0,0,8.94,8.39,1.43,SFG,1.88,0,0.5722,2.36,,19,8.39,3,3.55,18.88,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,17869
2106115,"Adley Rutschman",5200,SFG,C,BAL,92794,918713,5.01,0.87,0.21,0.02,0.1,0.45,0.51,0.021,0.79,0,0,0,0,0,0,0,0,9.42,8.44,1.2,SFG,1.75,0,0.8321,2.16,,20,8.44,1.62,3.38,19.95,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,2106115
36502,"Anthony Santander",4300,SFG,OF,BAL,92794,659463,4.84,0.74,0.16,0.02,0.15,0.44,0.42,0.006,0.47,0,0,0,0,0,0,0,0,7.92,7.29,1.07,SFG,1.72,0,0.9996,1.93,,21,7.29,1.7,2.14,19.57,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,36502
