PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
17735,"Rob Refsnyder",2400,TBR,OF,BOS,92911,53757,4.54,0.68,0.21,0,0.11,0.45,0.52,0.024,0.6,0,0,0,0,0,0,0,0,8.25,7.46,1,BOS,1.54,0,1.1466,1.97,,1,9.81,4.09,3.1,25.21,0.0,0,0,0,0,0,,17735
37543,"Alex Verdugo",3000,TBR,OF,BOS,92911,79160,4.52,0.74,0.26,0.02,0.06,0.45,0.48,0.013,0.39,0,0,0,0,0,0,0,0,7.65,7.02,1.08,BOS,1.56,0,0.726,2.01,,2,9.08,3.03,1.99,24.92,0.0,0,0,0,0,0,,37543
11113,"Justin Turner",2900,TBR,1B/3B,BOS,92911,6312,4.37,0.58,0.2,0,0.15,0.45,0.46,0.008,0.46,0,0,0,0,0,0,0,0,7.56,6.92,0.93,BOS,1.58,0,0.8015,1.84,,3,9.09,3.13,2.18,25.62,0.0,0,0,0,0,0,,11113
37377,"Rafael Devers",3700,TBR,3B,BOS,92911,68585,4.25,0.57,0.27,0.01,0.15,0.46,0.49,0.013,0.36,0,0,0,0,0,0,0,0,7.88,7.27,1,BOS,1.74,0,0.9,1.95,,4,9.5,2.57,1.78,26.83,0.0,0,0,0,0,0,,37377
4504237,"Masataka Yoshida",3700,TBR,OF,BOS,92911,181987,4.19,0.66,0.24,0.02,0.1,0.43,0.5,0.018,0.51,0,0,0,0,0,0,0,0,8.02,7.3,1.02,BOS,1.6,0,0.5859,1.95,,5,9.53,2.58,2.65,25.71,0.0,0,0,0,0,0,,4504237
18007,"Enrique Hernandez",2600,TBR,2B/SS/OF,BOS,92911,13792,4.14,0.44,0.19,0.02,0.13,0.43,0.41,0.007,0.48,0,0,0,0,0,0,0,0,7.02,6.35,0.78,BOS,1.4,0,0.8428,1.62,,6,8.44,3.25,1.66,24.57,0.0,0,0,0,0,0,,18007
521680,"Pablo Reyes",2200,TBR,OF,BOS,92911,95776,4.01,0.54,0.18,0.01,0.08,0.39,0.35,0.019,0.34,0,0,0,0,0,0,0,0,6.15,5.65,0.81,BOS,1.25,0,0.8137,1.55,,7,7.36,3.35,1.16,20.87,0.0,0,0,0,0,0,,521680
2038622,"Connor Wong",2900,TBR,C,BOS,92911,102504,3.72,0.34,0.23,0.02,0.11,0.41,0.33,0.023,0.33,0,0,0,0,0,0,0,0,6.21,5.67,0.7,BOS,1.3,0,1.1156,1.44,,8,7.5,2.59,1.28,19.92,0.0,0,0,0,0,0,,2038622
36622,"Christian Arroyo",2200,TBR,2B,BOS,92911,60652,3.67,0.55,0.18,0.02,0.1,0.37,0.32,0.013,0.21,0,0,0,0,0,0,0,0,5.86,5.48,0.85,BOS,1.37,0,0.8368,1.54,,9,7.03,3.2,1.81,18.78,0.0,0,0,0,0,0,,36622
1266421,"Nico Hoerner",3200,SDP,2B,CHC,92877,102301,4.65,0.66,0.21,0.03,0.08,0.41,0.45,0.106,0.42,0,0,0,0,0,0,0,0,7.74,7.21,0.98,SDP,1.49,0,0.674,1.84,,10,9.3,2.91,2.57,25.7,1.49,0.0788,0.085,0.0187,0.0601,9.3,,1266421
35650,"Dansby Swanson",3100,SDP,SS,CHC,92877,68586,4.67,0.52,0.23,0.01,0.18,0.45,0.5,0.059,0.56,0,0,0,0,0,0,0,0,8.58,7.85,0.94,SDP,1.73,0,1.3729,1.89,,11,10.33,3.33,2.71,28.9,2.27,0.0788,0.085,0.0187,0.0601,9.3,,35650
36762,"Ian Happ",2900,SDP,OF,CHC,92877,79092,4.5,0.46,0.25,0.01,0.13,0.43,0.44,0.054,0.61,0,0,0,0,0,0,0,0,8.01,7.21,0.85,SDP,1.51,0,1.4233,1.72,,12,9.56,3.3,2.49,26.27,2.65,0.0788,0.085,0.0187,0.0601,9.3,,36762
3409991,"Seiya Suzuki",3000,SDP,OF,CHC,92877,167012,4.38,0.51,0.21,0.03,0.14,0.42,0.47,0.048,0.6,0,0,0,0,0,0,0,0,8.2,7.44,0.89,SDP,1.58,0,1.1781,1.78,,13,9.8,3.27,2.97,26.97,2.54,0.0788,0.085,0.0187,0.0601,9.3,,3409991
16166,"Patrick Wisdom",3000,SDP,3B/OF,CHC,92877,85260,4.26,0.27,0.17,0.01,0.21,0.43,0.41,0.038,0.53,0,0,0,0,0,0,0,0,7.4,6.74,0.66,SDP,1.48,0,1.8555,1.5,,14,9.04,3.01,0.9,27.63,2.81,0.0788,0.085,0.0187,0.0601,9.3,,16166
13463,"Yan Gomes",2500,SDP,C,CHC,92877,16981,4.26,0.51,0.16,0,0.19,0.4,0.38,0.013,0.26,0,0,0,0,0,0,0,0,6.82,6.41,0.86,SDP,1.59,0,0.9627,1.64,,15,8.29,3.32,1.37,24.18,0.34,0.0788,0.085,0.0187,0.0601,9.3,,13463
17649,"Trey Mancini",2600,SDP,1B/OF,CHC,92877,53401,4.14,0.43,0.17,0.01,0.14,0.39,0.37,0.003,0.52,0,0,0,0,0,0,0,0,6.91,6.22,0.75,SDP,1.36,0,1.2036,1.51,,16,8.23,3.17,1.99,23.62,1.83,0.0788,0.085,0.0187,0.0601,9.3,,17649
1452508,"Miguel Amaya",2000,SDP,C,CHC,92877,85279,3.92,0.34,0.14,0.01,0.11,0.35,0.28,0.013,0.37,0,0,0,0,0,0,0,0,5.43,4.94,0.6,SDP,1.09,0,1.1952,1.23,,17,6.53,3.27,1.03,18.51,1.14,0.0788,0.085,0.0187,0.0601,9.3,,1452508
2441503,"Christopher Morel",3300,SDP,OF/3B,CHC,92877,119318,3.81,0.32,0.17,0.02,0.19,0.38,0.35,0.063,0.51,0,0,0,0,0,0,0,0,7.19,6.58,0.7,SDP,1.48,0,1.4112,1.43,,18,8.7,2.64,1.91,27.65,2.04,0.0788,0.085,0.0187,0.0601,9.3,,2441503
498052,"Kevin Newman",3100,MIL,SS,CIN,92875,79218,4.62,0.75,0.2,0.03,0.05,0.58,0.57,0.053,0.27,0,0,0,0,0,0,0,0,7.59,7.17,1.03,CIN,1.44,0,0.5994,2.18,,19,9.39,3.03,2.08,24.15,2.92,0.0511,0.0286,0.0863,-0.0352,0.7,,498052
4738878,"Matt McLain",3400,MIL,SS,CIN,92875,165507,4.43,0.58,0.18,0.03,0.12,0.59,0.6,0.05,0.47,0,0,0,0,0,0,0,0,8.24,7.64,0.91,CIN,1.51,0,1.1506,2.1,,20,10.22,3.01,2.37,28.25,4.24,0.0511,0.0286,0.0863,-0.0352,0.7,,4738878
2039490,"Jonathan India",3600,MIL,2B,CIN,92875,102308,4.32,0.61,0.21,0.02,0.15,0.6,0.64,0.059,0.51,0,0,0,0,0,0,0,0,8.98,8.31,0.99,CIN,1.69,0,0.9496,2.23,,21,11.07,3.08,3.77,28.08,12.48,0.0511,0.0286,0.0863,-0.0352,0.7,,2039490
1232642,"Jake Fraley",3100,MIL,OF,CIN,92875,102591,4.2,0.59,0.17,0,0.21,0.59,0.71,0.125,0.57,0,0,0,0,0,0,0,0,9.71,9.1,0.97,CIN,1.77,0,0.8691,2.27,,22,12.13,3.91,4.26,30.39,18.19,0.0511,0.0286,0.0863,-0.0352,0.7,,1232642
3769530,"Spencer Steer",3500,MIL,3B,CIN,92875,179272,4.2,0.57,0.24,0.03,0.14,0.6,0.63,0.017,0.42,0,0,0,0,0,0,0,0,8.54,7.9,0.98,CIN,1.7,0,0.9258,2.21,,23,10.54,3.01,2.54,27.69,6.4,0.0511,0.0286,0.0863,-0.0352,0.7,,3769530
1452544,"Tyler Stephenson",2500,MIL,C,CIN,92875,79110,4.03,0.64,0.2,0.01,0.1,0.53,0.54,0.008,0.42,0,0,0,0,0,0,0,0,7.64,7.03,0.95,CIN,1.47,0,1.0044,2.02,,24,9.32,3.73,3.06,23.67,2.86,0.0511,0.0286,0.0863,-0.0352,0.7,,1452544
873104,"Nick Senzel",2700,MIL,OF/2B/3B,CIN,92875,79108,4.01,0.6,0.14,0,0.07,0.49,0.45,0.075,0.36,0,0,0,0,0,0,0,0,6.67,6.24,0.81,CIN,1.16,0,0.7882,1.75,,25,8.24,3.05,1.84,22.33,5.11,0.0511,0.0286,0.0863,-0.0352,0.7,,873104
3673261,"Will Benson",2100,MIL,OF,CIN,92875,79119,3.7,0.48,0.13,0.02,0.09,0.47,0.41,0.02,0.37,0,0,0,0,0,0,0,0,6.31,5.83,0.72,CIN,1.16,0,0.9779,1.6,,26,7.77,3.7,0.78,21.07,2.08,0.0511,0.0286,0.0863,-0.0352,0.7,,3673261
17557,"Luke Maile",2300,MIL,C,CIN,92875,52995,3.65,0.44,0.18,0,0.1,0.48,0.4,0.024,0.38,0,0,0,0,0,0,0,0,6.31,5.78,0.72,CIN,1.2,0,1.0693,1.6,,27,7.75,3.37,1.12,20.15,1.43,0.0511,0.0286,0.0863,-0.0352,0.7,,17557
163067,"Zach McKinstry",2800,PHI,2B,DET,92872,118218,4.58,0.51,0.18,0.1,0.12,0.42,0.46,0.049,0.43,0,0,0,0,0,0,0,0,7.93,7.37,0.91,PHI,1.65,0,1.305,1.79,,28,9.56,3.41,2.1,26.48,1.55,0.023,0.0645,0.0289,-0.0059,1.3,,163067
15811,"Javier Baez",2600,PHI,SS,DET,92872,21885,4.5,0.59,0.16,0.05,0.19,0.41,0.45,0.04,0.21,0,0,0,0,0,0,0,0,7.58,7.25,0.99,PHI,1.82,0,1.4129,1.85,,29,9.25,3.56,1.29,26.77,1.46,0.023,0.0645,0.0289,-0.0059,1.3,,15811
2500366,"Akil Baddoo",2300,PHI,OF,DET,92872,82611,4.33,0.54,0.16,0.12,0.1,0.39,0.43,0.074,0.45,0,0,0,0,0,0,0,0,7.79,7.25,0.92,PHI,1.62,0,1.2164,1.74,,30,9.34,4.06,2.73,24.63,1.29,0.023,0.0645,0.0289,-0.0059,1.3,,2500366
2038813,"Spencer Torkelson",2800,PHI,1B,DET,92872,135203,4.34,0.49,0.19,0.01,0.13,0.38,0.38,0.003,0.35,0,0,0,0,0,0,0,0,6.55,6.02,0.82,PHI,1.42,0,1.1833,1.58,,31,7.85,2.8,1.55,22.98,8.73,0.023,0.0645,0.0289,-0.0059,1.3,,2038813
2039855,"Nick Maton",2200,PHI,2B/3B,DET,92872,119404,3.93,0.36,0.14,0.05,0.11,0.34,0.35,0.015,0.47,0,0,0,0,0,0,0,0,6.22,5.63,0.66,PHI,1.23,0,1.2456,1.35,,32,7.44,3.38,1.82,21.52,8.44,0.023,0.0645,0.0289,-0.0059,1.3,,2039855
17777,"Eric Haase",2400,PHI,C/OF,DET,92872,83182,4.14,0.47,0.14,0.02,0.13,0.35,0.33,0.01,0.24,0,0,0,0,0,0,0,0,5.86,5.49,0.76,PHI,1.33,0,1.3728,1.44,,33,7.08,2.95,1.14,20.68,1.27,0.023,0.0645,0.0289,-0.0059,1.3,,17777
10323,"Miguel Cabrera",2100,PHI,1B,DET,92872,5118,4.02,0.55,0.11,0,0.09,0.31,0.27,0.002,0.22,0,0,0,0,0,0,0,0,5,4.67,0.75,PHI,1.13,0,1.1541,1.33,,34,5.97,2.84,0.52,19.06,1.06,0.023,0.0645,0.0289,-0.0059,1.3,,10323
