PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2039345,"Pavin Smith",2900,ATL,1B/OF,ARI,92795,82530,4.2,0.46,0.15,0.02,0.09,0.39,0.42,0.003,0.45,0,0,0,0,0,0,0,0,6.31,5.72,0.72,ARI,1.18,0,1.1959,1.53,,1,7.6,2.62,1,23.14,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,2039345
15782,"Ketel Marte",3300,ATL,2B,ARI,92795,21853,4.25,0.45,0.2,0.04,0.09,0.42,0.45,0.011,0.41,0,0,0,0,0,0,0,0,6.83,6.22,0.78,ARI,1.33,0,1.0712,1.65,,2,8.25,2.5,1.36,24.57,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,15782
2039346,"Corbin Carroll",3600,ATL,OF,ARI,92795,119297,4.24,0.4,0.19,0.04,0.12,0.44,0.46,0.054,0.51,0,0,0,0,0,0,0,0,7.45,6.8,0.75,ARI,1.38,0,1.3713,1.65,,3,9.05,2.51,1.64,26.37,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,2039346
16300,"Christian Walker",3100,ATL,1B,ARI,92795,38218,4.07,0.37,0.18,0.01,0.15,0.42,0.42,0.006,0.34,0,0,0,0,0,0,0,0,6.45,5.94,0.71,ARI,1.36,0,1.2288,1.55,,4,7.91,2.55,0.48,25.03,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,16300
36142,"Lourdes Gurriel",3300,ATL,OF,ARI,92795,79272,3.93,0.45,0.24,0.03,0.09,0.4,0.41,0.006,0.24,0,0,0,0,0,0,0,0,6.23,5.76,0.81,ARI,1.38,0,0.9902,1.62,,5,7.54,2.28,0.61,22.33,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,36142
1220539,"Josh Rojas",2800,ATL,3B,ARI,92795,113309,3.86,0.45,0.17,0.02,0.05,0.36,0.36,0.029,0.42,0,0,0,0,0,0,0,0,5.78,5.22,0.69,ARI,1.05,0,1.1684,1.41,,6,6.91,2.47,1.22,19.7,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,1220539
2133994,"Gabriel Moreno",2500,ATL,C,ARI,92795,119442,3.82,0.53,0.13,0.01,0.05,0.33,0.3,0.009,0.22,0,0,0,0,0,0,0,0,4.92,4.58,0.72,ARI,1.02,0,0.9265,1.35,,7,5.91,2.36,0.28,17.7,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,2133994
3054562,"Jake McCarthy",2700,ATL,OF,ARI,92795,102282,3.73,0.44,0.11,0.04,0.06,0.34,0.32,0.045,0.34,0,0,0,0,0,0,0,0,5.46,5.04,0.65,ARI,1.02,0,1.1469,1.31,,8,6.6,2.44,0.85,19.22,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,3054562
2039344,"Geraldo Perdomo",2900,ATL,SS,ARI,92795,102438,3.57,0.37,0.09,0.03,0.05,0.31,0.28,0.018,0.44,0,0,0,0,0,0,0,0,5.01,4.5,0.54,ARI,0.84,0,1.0081,1.13,,9,5.98,2.06,0.79,16.89,0.0,0.0248,0.0198,0.034,-0.0092,2.7,,2039344
262363,"Ronald Acuna",4500,ARI,OF,ATL,92795,79756,4.9,0.67,0.29,0.05,0.22,0.62,0.69,0,0.5,0,0,0,0,0,0,0,0,10.46,9.67,1.23,ARI,2.28,0,0.8725,2.54,,10,12.7,2.82,3.95,32.4,0.0,0.1683,0.1245,0.1721,-0.0038,7.3,,262363
