,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Jacob deGrom (28220906),Jacob deGrom,28220906,P,11500,STL@TEX 06/05/2023 08:05PM ET,TEX,22.41
,,,,,,,,,,,SP,Mitch Keller (28220907),Mitch Keller,28220907,P,10800,OAK@PIT 06/05/2023 07:05PM ET,PIT,23.5
,,,,,,,,,,,SP,Kevin Gausman (28220908),Kevin Gausman,28220908,P,10600,HOU@TOR 06/05/2023 07:07PM ET,TOR,24.03
,,,,,,,,,,,SP,Cristian Javier (28220909),Cristian Javier,28220909,P,10600,HOU@TOR 06/05/2023 07:07PM ET,HOU,20.23
,,,,,,,,,,,SP,Nathan Eovaldi (28220910),Nathan Eovaldi,28220910,P,10500,STL@TEX 06/05/2023 08:05PM ET,TEX,24
,,,,,,,,,,,SP,Aaron Nola (28220326),Aaron Nola,28220326,P,10200,DET@PHI 06/05/2023 06:40PM ET,PHI,15.42
,,,,,,,,,,,SP,Framber Valdez (28220911),Framber Valdez,28220911,P,10100,HOU@TOR 06/05/2023 07:07PM ET,HOU,23.86
,,,,,,,,,,,RP,Hunter Brown (28220913),Hunter Brown,28220913,P,10000,HOU@TOR 06/05/2023 07:07PM ET,HOU,19.06
,,,,,,,,,,,SP,Brandon Woodruff (28220912),Brandon Woodruff,28220912,P,10000,MIL@CIN 06/05/2023 07:10PM ET,MIL,22.75
,,,,,,,,,,,SP,Nick Lodolo (28220914),Nick Lodolo,28220914,P,10000,MIL@CIN 06/05/2023 07:10PM ET,CIN,13.01
,,,,,,,,,,,SP,Corbin Burnes (28220915),Corbin Burnes,28220915,P,9900,MIL@CIN 06/05/2023 07:10PM ET,MIL,16.31
,,,,,,,,,,,SP,Blake Snell (28220327),Blake Snell,28220327,P,9700,CHC@SD 06/05/2023 09:10PM ET,SD,13.18
,,,,,,,,,,,SP,Jose Berrios (28220916),Jose Berrios,28220916,P,9400,HOU@TOR 06/05/2023 07:07PM ET,TOR,16.94
,,,,,,,,,,,SP,Aaron Ashby (28220917),Aaron Ashby,28220917,P,9300,MIL@CIN 06/05/2023 07:10PM ET,MIL,0
,,,,,,,,,,,RP,Luis Garcia (28220919),Luis Garcia,28220919,P,9200,HOU@TOR 06/05/2023 07:07PM ET,HOU,14.19
,,,,,,,,,,,SP,Zack Wheeler (28220918),Zack Wheeler,28220918,P,9200,DET@PHI 06/05/2023 06:40PM ET,PHI,17.48
,,,,,,,,,,,SP,Janson Junk (28220923),Janson Junk,28220923,P,9100,MIL@CIN 06/05/2023 07:10PM ET,MIL,1.1
,,,,,,,,,,,SP,Justin Steele (28220920),Justin Steele,28220920,P,9100,CHC@SD 06/05/2023 09:10PM ET,CHC,17.28
,,,,,,,,,,,SP,Jesus Luzardo (28220921),Jesus Luzardo,28220921,P,9100,KC@MIA 06/05/2023 06:40PM ET,MIA,17.23
,,,,,,,,,,,SP,Sandy Alcantara (28220922),Sandy Alcantara,28220922,P,9100,KC@MIA 06/05/2023 06:40PM ET,MIA,14.6
,,,,,,,,,,,SP,Andrew Heaney (28220925),Andrew Heaney,28220925,P,8800,STL@TEX 06/05/2023 08:05PM ET,TEX,15.24
,,,,,,,,,,,SP,Eduardo Rodriguez (28220924),Eduardo Rodriguez,28220924,P,8800,DET@PHI 06/05/2023 06:40PM ET,DET,20.97
,,,,,,,,,,,SP,Julio Teheran (28220328),Julio Teheran,28220328,P,8700,MIL@CIN 06/05/2023 07:10PM ET,MIL,15.68
,,,,,,,,,,,RP,Nick Martinez (28220926),Nick Martinez,28220926,P,8700,CHC@SD 06/05/2023 09:10PM ET,SD,6.78
,,,,,,,,,,,SP,Eury Perez (28220927),Eury Perez,28220927,P,8700,KC@MIA 06/05/2023 06:40PM ET,MIA,17.04
,,,,,,,,,,,SP,Bryse Wilson (28220932),Bryse Wilson,28220932,P,8600,MIL@CIN 06/05/2023 07:10PM ET,MIL,4.75
,,,,,,,,,,,SP,Yu Darvish (28220928),Yu Darvish,28220928,P,8600,CHC@SD 06/05/2023 09:10PM ET,SD,17.48
,,,,,,,,,,,RP,Steven Wilson (28220930),Steven Wilson,28220930,P,8600,CHC@SD 06/05/2023 09:10PM ET,SD,3.65
,,,,,,,,,,,SP,Adbert Alzolay (28220931),Adbert Alzolay,28220931,P,8600,CHC@SD 06/05/2023 09:10PM ET,CHC,4.21
,,,,,,,,,,,SP,Edward Cabrera (28220929),Edward Cabrera,28220929,P,8600,KC@MIA 06/05/2023 06:40PM ET,MIA,15.79
,,,,,,,,,,,RP,Trevor Rogers (28220933),Trevor Rogers,28220933,P,8500,KC@MIA 06/05/2023 06:40PM ET,MIA,12.88
,,,,,,,,,,,SP,Yusei Kikuchi (28220936),Yusei Kikuchi,28220936,P,8400,HOU@TOR 06/05/2023 07:07PM ET,TOR,14.25
,,,,,,,,,,,SP,Caleb Smith (28220935),Caleb Smith,28220935,P,8400,OAK@PIT 06/05/2023 07:05PM ET,PIT,0
,,,,,,,,,,,RP,Craig Stammen (28220934),Craig Stammen,28220934,P,8400,CHC@SD 06/05/2023 09:10PM ET,SD,0
,,,,,,,,,,,SP,Nate Pearson (28220940),Nate Pearson,28220940,P,8300,HOU@TOR 06/05/2023 07:07PM ET,TOR,5.22
,,,,,,,,,,,RP,Bennett Sousa (28220939),Bennett Sousa,28220939,P,8300,MIL@CIN 06/05/2023 07:10PM ET,MIL,1.95
,,,,,,,,,,,SP,Marcus Stroman (28220937),Marcus Stroman,28220937,P,8300,CHC@SD 06/05/2023 09:10PM ET,CHC,19.4
,,,,,,,,,,,RP,Luis Garcia (28220938),Luis Garcia,28220938,P,8300,CHC@SD 06/05/2023 09:10PM ET,SD,2.36
,,,,,,,,,,,SP,Braxton Garrett (28220329),Braxton Garrett,28220329,P,8300,KC@MIA 06/05/2023 06:40PM ET,MIA,12.62
,,,,,,,,,,,RP,Daniel Castano (28220941),Daniel Castano,28220941,P,8200,KC@MIA 06/05/2023 06:40PM ET,MIA,-1.55
,,,,,,,,,,,SP,Erik Swanson (28220945),Erik Swanson,28220945,P,8100,HOU@TOR 06/05/2023 07:07PM ET,TOR,3.87
,,,,,,,,,,,SP,Freddy Peralta (28220946),Freddy Peralta,28220946,P,8100,MIL@CIN 06/05/2023 07:10PM ET,MIL,14.87
,,,,,,,,,,,RP,Jeff Hoffman (28220943),Jeff Hoffman,28220943,P,8100,DET@PHI 06/05/2023 06:40PM ET,PHI,4.72
,,,,,,,,,,,SP,Shintaro Fujinami (28220947),Shintaro Fujinami,28220947,P,8100,OAK@PIT 06/05/2023 07:05PM ET,OAK,1.04
,,,,,,,,,,,RP,Jarlin Garcia (28220948),Jarlin Garcia,28220948,P,8100,OAK@PIT 06/05/2023 07:05PM ET,PIT,0
,,,,,,,,,,,SP,Adrian Sampson (28220942),Adrian Sampson,28220942,P,8100,CHC@SD 06/05/2023 09:10PM ET,CHC,0
,,,,,,,,,,,SP,Kris Bubic (28220944),Kris Bubic,28220944,P,8100,KC@MIA 06/05/2023 06:40PM ET,KC,13.6
,,,,,,,,,,,SP,Martin Perez (28220330),Martin Perez,28220330,P,8000,STL@TEX 06/05/2023 08:05PM ET,TEX,12.02
,,,,,,,,,,,RP,Zack Thompson (28220955),Zack Thompson,28220955,P,8000,STL@TEX 06/05/2023 08:05PM ET,STL,3.79
