P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-52859:Jacob deGrom,91073-52859,P,Jacob,Jacob deGrom,deGrom,37.166666666666664,6,11400,STL@TEX,TEX,STL,IL,Elbow,,,0,P
"","","","","","","","","","",91073-79217:Mitch Keller,91073-79217,P,Mitch,Mitch Keller,Keller,41.333333333333336,12,11200,OAK@PIT,PIT,OAK,,,,,0,P
"","","","","","","","","","",91073-85599:Framber Valdez,91073-85599,P,Framber,Framber Valdez,Valdez,42.333333333333336,12,11200,HOU@TOR,HOU,TOR,,,,,,P
"","","","","","","","","","",91073-38000:Kevin Gausman,91073-38000,P,Kevin,Kevin Gausman,Gausman,43,12,11100,HOU@TOR,TOR,HOU,,,,,0,P
"","","","","","","","","","",91073-16960:Zack Wheeler,91073-16960,P,Zack,Zack Wheeler,Wheeler,32.666666666666664,12,10900,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-13233:Nathan Eovaldi,91073-13233,P,Nathan,Nathan Eovaldi,Eovaldi,41,12,10800,STL@TEX,TEX,STL,,,,,0,P
"","","","","","","","","","",91073-102335:Cristian Javier,91073-102335,P,Cristian,Cristian Javier,Javier,35.75,12,10800,HOU@TOR,HOU,TOR,,,,,,P
"","","","","","","","","","",91073-146687:Hunter Brown,91073-146687,P,Hunter,Hunter Brown,Brown,34.90909090909091,11,10500,HOU@TOR,HOU,TOR,,,,,,P
"","","","","","","","","","",91073-80582:Brandon Woodruff,91073-80582,P,Brandon,Brandon Woodruff,Woodruff,38.5,3,10200,MIL@CIN,MIL,CIN,IL,Shoulder,,,,P
"","","","","","","","","","",91073-60647:Aaron Nola,91073-60647,P,Aaron,Aaron Nola,Nola,29.166666666666668,12,10000,DET@PHI,PHI,DET,,,,Yes,,P
"","","","","","","","","","",91073-79280:Jesus Luzardo,91073-79280,P,Jesus,Jesus Luzardo,Luzardo,32.333333333333336,13,10000,KC@MIA,MIA,KC,,,,,0,P
"","","","","","","","","","",91073-39041:Marcus Stroman,91073-39041,P,Marcus,Marcus Stroman,Stroman,35.23076923076923,13,9900,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-82604:Corbin Burnes,91073-82604,P,Corbin,Corbin Burnes,Burnes,31,12,9800,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-52167:Andrew Heaney,91073-52167,P,Andrew,Andrew Heaney,Heaney,29.454545454545453,11,9800,STL@TEX,TEX,STL,,,,,0,P
"","","","","","","","","","",91073-79245:Sandy Alcantara,91073-79245,P,Sandy,Sandy Alcantara,Alcantara,27.416666666666668,12,9700,KC@MIA,MIA,KC,,,,,0,P
"","","","","","","","","","",91073-135212:Luis Garcia,91073-135212,P,Luis,Luis Garcia,Garcia,31.6,6,9600,HOU@TOR,HOU,TOR,IL,Elbow,,,,P
"","","","","","","","","","",91073-53067:Chris Bassitt,91073-53067,P,Chris,Chris Bassitt,Bassitt,33.75,12,9600,HOU@TOR,TOR,HOU,IL,Personal,,,0,P
"","","","","","","","","","",91073-52142:Eduardo Rodriguez,91073-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,36.72727272727273,11,9600,DET@PHI,DET,PHI,IL,Finger,,,0,P
"","","","","","","","","","",91073-68488:Blake Snell,91073-68488,P,Blake,Blake Snell,Snell,26.272727272727273,11,9500,CHC@SD,SD,CHC,,,,Yes,,P
"","","","","","","","","","",91073-37999:Michael Wacha,91073-37999,P,Michael,Michael Wacha,Wacha,30.818181818181817,11,9300,CHC@SD,SD,CHC,,,,,,P
"","","","","","","","","","",91073-83190:Freddy Peralta,91073-83190,P,Freddy,Freddy Peralta,Peralta,29.90909090909091,12,9300,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-101810:Justin Steele,91073-101810,P,Justin,Justin Steele,Steele,32.166666666666664,13,9300,CHC@SD,CHC,SD,IL,Forearm,,,,P
"","","","","","","","","","",91073-16931:Yu Darvish,91073-16931,P,Yu,Yu Darvish,Darvish,32,11,9300,CHC@SD,SD,CHC,,,,,,P
"","","","","","","","","","",91073-165599:Eury Perez,91073-165599,P,Eury,Eury Perez,Perez,28.8,5,9300,KC@MIA,MIA,KC,,,,,0,P
"","","","","","","","","","",91073-82550:Hunter Greene,91073-82550,P,Hunter,Hunter Greene,Greene,32.583333333333336,12,9200,MIL@CIN,CIN,MIL,DTD,Hip,,,,P
