PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2039345,"Pavin Smith",2900,ATL,1B/OF,ARI,92833,82530,4.24,0.52,0.17,0.02,0.15,0.52,0.55,0.003,0.4,0,0,0,0,0,0,0,0,7.51,6.95,0.86,ARI,1.52,0,0.7971,1.93,,1,9.27,3.2,1.39,26.72,0.0,0,0,0,0,0,,2039345
15782,"Ketel Marte",3300,ATL,2B,ARI,92833,21853,4.29,0.5,0.23,0.03,0.14,0.56,0.57,0.011,0.37,0,0,0,0,0,0,0,0,7.96,7.37,0.9,ARI,1.61,0,0.7061,2.03,,2,9.82,2.98,1.44,29.04,0.0,0,0,0,0,0,,15782
2039346,"Corbin Carroll",3600,ATL,OF,ARI,92833,119297,4.28,0.45,0.22,0.04,0.19,0.59,0.61,0.053,0.46,0,0,0,0,0,0,0,0,8.82,8.2,0.9,ARI,1.77,0,0.899,2.1,,3,10.96,3.04,1.92,29.99,0.0,0,0,0,0,0,,2039346
16300,"Christian Walker",3100,ATL,1B,ARI,92833,38218,4.11,0.48,0.17,0.01,0.19,0.54,0.58,0.008,0.38,0,0,0,0,0,0,0,0,7.88,7.34,0.85,ARI,1.61,0,0.8068,1.97,,4,9.79,3.16,1.3,28.55,0.0,0,0,0,0,0,,16300
36142,"Lourdes Gurriel",3300,ATL,OF,ARI,92833,79272,3.96,0.59,0.23,0.04,0.11,0.52,0.55,0.007,0.26,0,0,0,0,0,0,0,0,7.52,7.03,0.97,ARI,1.61,0,0.6512,2.04,,5,9.23,2.8,1.74,25.33,0.0,0,0,0,0,0,,36142
1220539,"Josh Rojas",2800,ATL,3B,ARI,92833,113309,3.89,0.5,0.19,0.02,0.07,0.47,0.45,0.03,0.38,0,0,0,0,0,0,0,0,6.62,6.08,0.78,ARI,1.22,0,0.7822,1.7,,6,8.09,2.89,1.43,22.21,0.0,0,0,0,0,0,,1220539
2133994,"Gabriel Moreno",2500,ATL,C,ARI,92833,119442,3.85,0.7,0.13,0.01,0.07,0.43,0.42,0.012,0.25,0,0,0,0,0,0,0,0,6.03,5.67,0.91,ARI,1.27,0,0.6134,1.76,,7,7.34,2.94,1.32,20.14,0.0,0,0,0,0,0,,2133994
3054562,"Jake McCarthy",2700,ATL,OF,ARI,92833,102282,3.76,0.5,0.13,0.04,0.09,0.45,0.4,0.047,0.31,0,0,0,0,0,0,0,0,6.22,5.83,0.76,ARI,1.24,0,0.758,1.61,,8,7.67,2.84,1.18,21.98,0.0,0,0,0,0,0,,3054562
2039344,"Geraldo Perdomo",2900,ATL,SS,ARI,92833,102438,3.6,0.42,0.11,0.03,0.08,0.41,0.35,0.018,0.39,0,0,0,0,0,0,0,0,5.69,5.21,0.64,ARI,1.05,0,0.6615,1.4,,9,6.96,2.4,0.97,19.41,0.0,0,0,0,0,0,,2039344
262363,"Ronald Acuna",4300,ARI,OF,ATL,92833,79756,4.66,0.57,0.32,0.02,0.17,0.5,0.59,0.071,0.48,0,0,0,0,0,0,0,0,9.38,8.65,1.08,ARI,1.95,0,1.0601,2.17,,10,11.34,2.64,3,29.58,0.0,0,0,0,0,0,,262363
17887,"Matt Olson",3900,ARI,1B,ATL,92833,52175,4.58,0.41,0.28,0,0.18,0.49,0.51,0.005,0.51,0,0,0,0,0,0,0,0,8.28,7.49,0.87,ARI,1.69,0,1.1237,1.87,,11,10,2.56,1.73,28.43,0.0,0,0,0,0,0,,17887
1023422,"Austin Riley",3100,ARI,3B,ATL,92833,79074,4.46,0.5,0.26,0.01,0.18,0.47,0.49,0.001,0.39,0,0,0,0,0,0,0,0,8,7.36,0.95,ARI,1.77,0,1.1281,1.91,,12,9.66,3.12,1.6,27.2,0.0,0,0,0,0,0,,1023422
1252110,"Sean Murphy",3400,ARI,C,ATL,92833,82624,4.32,0.44,0.3,0,0.14,0.46,0.48,0.002,0.43,0,0,0,0,0,0,0,0,7.77,7.04,0.88,ARI,1.6,0,1.0391,1.82,,13,9.33,2.74,1.71,25.92,0.0,0,0,0,0,0,,1252110
15912,"Eddie Rosario",2700,ARI,OF,ATL,92833,38040,4.2,0.49,0.25,0.02,0.09,0.42,0.4,0.011,0.23,0,0,0,0,0,0,0,0,6.39,5.92,0.85,ARI,1.41,0,0.9657,1.67,,14,7.71,2.86,0.77,22.6,0.0,0,0,0,0,0,,15912
37435,"Ozzie Albies",3000,ARI,2B,ATL,92833,68587,4.13,0.44,0.25,0.03,0.12,0.43,0.4,0.02,0.27,0,0,0,0,0,0,0,0,6.76,6.26,0.84,ARI,1.51,0,0.8,1.67,,15,8.19,2.73,0.91,24.1,0.0,0,0,0,0,0,,37435
14629,"Marcell Ozuna",2800,ARI,OF,ATL,92833,17086,4.05,0.4,0.19,0,0.17,0.42,0.38,0.005,0.28,0,0,0,0,0,0,0,0,6.53,6.07,0.76,ARI,1.46,0,1.0247,1.56,,16,7.97,2.85,0.59,24.06,0.0,0,0,0,0,0,,14629
